Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
lavender-fawn-embroidered-sweater,Lavender Fawn Embroidered Sweater,<p>A fairy-tale winter wonder! Rendered in pastel lilac lavender knit with an adorable embroidered storybook fawn wearing a pink scarf and floral branch antlers adorned with colorful 3D blossoms.</p><ul><li>Fabric: 100% Cloud-Soft Combed Cotton Knit</li><li>Detail: Hand-Finished Fawn & 3D Floral Embroidery</li><li>Features: Two-tone contrast ivory ribbed neckline & hem</li><li>Care: Gentle Machine Wash Cold Inside Out</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Lavender, Deer, Fawn, Floral Embroidery, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-LAVENDER-F-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lavender_fawn_sweater.jpg,1,Lavender Fawn Embroidered Sweater,FALSE,Lavender Fawn Embroidered Sweater – Meeeku Kids Fashion,"Shop Lavender Fawn Embroidered Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Girls,Kids,MKU-LAVENDER-F-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lavender_fawn_sweater.jpg,g,,720,,,active
lavender-fawn-embroidered-sweater,,,,,,,,Size,6-12M,,,,,MKU-LAVENDER-F-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Lavender Fawn Embroidered Sweater – Meeeku Kids Fashion,"Shop Lavender Fawn Embroidered Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Girls,Kids,MKU-LAVENDER-F-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
lavender-fawn-embroidered-sweater,,,,,,,,Size,1-2Y,,,,,MKU-LAVENDER-F-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Lavender Fawn Embroidered Sweater – Meeeku Kids Fashion,"Shop Lavender Fawn Embroidered Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Girls,Kids,MKU-LAVENDER-F-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
lavender-fawn-embroidered-sweater,,,,,,,,Size,2-3Y,,,,,MKU-LAVENDER-F-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Lavender Fawn Embroidered Sweater – Meeeku Kids Fashion,"Shop Lavender Fawn Embroidered Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Girls,Kids,MKU-LAVENDER-F-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
lavender-fawn-embroidered-sweater,,,,,,,,Size,3-4Y,,,,,MKU-LAVENDER-F-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Lavender Fawn Embroidered Sweater – Meeeku Kids Fashion,"Shop Lavender Fawn Embroidered Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Girls,Kids,MKU-LAVENDER-F-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
sage-frost-pudding-knitted-sweater,Sage Frost Pudding Knitted Sweater,<p>Charming cottage vibes in frosty sage grey knit! Features whimsical dotted pudding jacquard inlays with tiny sky blue bows and natural coconut wood shoulder buttons for quick changing.</p><ul><li>Fabric: 100% Pure Breathable Cotton Knit</li><li>Style: Crewneck Button-Shoulder Pullover</li><li>Features: Coconut button shoulder placket & snug ribbed trims</li><li>Care: Machine Wash Cold Gentle</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Sage Frost, Pudding Dots, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-SAGE-FROST-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_frost_pudding_sweater.jpg,1,Sage Frost Pudding Knitted Sweater,FALSE,Sage Frost Pudding Knitted Sweater – Meeeku Kids Fashion,"Shop Sage Frost Pudding Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-SAGE-FROST-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_frost_pudding_sweater.jpg,g,,720,,,active
sage-frost-pudding-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-SAGE-FROST-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Sage Frost Pudding Knitted Sweater – Meeeku Kids Fashion,"Shop Sage Frost Pudding Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-SAGE-FROST-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
sage-frost-pudding-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-SAGE-FROST-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Sage Frost Pudding Knitted Sweater – Meeeku Kids Fashion,"Shop Sage Frost Pudding Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-SAGE-FROST-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
sage-frost-pudding-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-SAGE-FROST-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Sage Frost Pudding Knitted Sweater – Meeeku Kids Fashion,"Shop Sage Frost Pudding Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-SAGE-FROST-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
sage-frost-pudding-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-SAGE-FROST-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Sage Frost Pudding Knitted Sweater – Meeeku Kids Fashion,"Shop Sage Frost Pudding Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-SAGE-FROST-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
charcoal-wave-textured-knitted-sweater,Charcoal Wave Textured Knitted Sweater,<p>Modern geometric texture in deep charcoal grey! Features sculpted horizontal rib wave patterns with crisp ivory oval inserts and a shoulder button accent for a refined look.</p><ul><li>Fabric: 100% Heavyweight Textured Cotton Knit</li><li>Style: Architectural Wave Rib Crewneck</li><li>Features: Shoulder button closure & chunky ribbed hem</li><li>Care: Machine Wash Cold</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Charcoal Grey, Wave Rib, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-CHARCOAL-W-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_charcoal_wave_sweater.jpg,1,Charcoal Wave Textured Knitted Sweater,FALSE,Charcoal Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Charcoal Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHARCOAL-W-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_charcoal_wave_sweater.jpg,g,,720,,,active
charcoal-wave-textured-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-CHARCOAL-W-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Charcoal Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Charcoal Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHARCOAL-W-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
charcoal-wave-textured-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-CHARCOAL-W-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Charcoal Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Charcoal Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHARCOAL-W-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
charcoal-wave-textured-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-CHARCOAL-W-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Charcoal Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Charcoal Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHARCOAL-W-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
charcoal-wave-textured-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-CHARCOAL-W-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Charcoal Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Charcoal Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHARCOAL-W-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
heather-wave-ribbed-knitted-sweater,Heather Wave Ribbed Knitted Sweater,<p>Clean contemporary style in light heather grey! Crafted with ribbed horizontal ripple wave texture and navy blue oval inlays for a smart everyday winter outfit.</p><ul><li>Fabric: 100% Combed Pure Cotton Knit</li><li>Style: Textured Wave Pattern Crewneck</li><li>Features: Elasticated knit cuffs & gentle non-scratch neckband</li><li>Care: Machine Wash Cold</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Heather Grey, Wave Rib, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-HEATHER-WA-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_heather_wave_sweater.jpg,1,Heather Wave Ribbed Knitted Sweater,FALSE,Heather Wave Ribbed Knitted Sweater – Meeeku Kids Fashion,"Shop Heather Wave Ribbed Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-HEATHER-WA-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_heather_wave_sweater.jpg,g,,720,,,active
heather-wave-ribbed-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-HEATHER-WA-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Heather Wave Ribbed Knitted Sweater – Meeeku Kids Fashion,"Shop Heather Wave Ribbed Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-HEATHER-WA-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
heather-wave-ribbed-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-HEATHER-WA-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Heather Wave Ribbed Knitted Sweater – Meeeku Kids Fashion,"Shop Heather Wave Ribbed Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-HEATHER-WA-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
heather-wave-ribbed-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-HEATHER-WA-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Heather Wave Ribbed Knitted Sweater – Meeeku Kids Fashion,"Shop Heather Wave Ribbed Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-HEATHER-WA-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
heather-wave-ribbed-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-HEATHER-WA-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Heather Wave Ribbed Knitted Sweater – Meeeku Kids Fashion,"Shop Heather Wave Ribbed Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-HEATHER-WA-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
chocolate-wave-textured-knitted-sweater,Chocolate Wave Textured Knitted Sweater,<p>Rich warm tones for winter! Designed in deep chocolate brown with textured wave ribbing and contrasting ivory ovals. Perfectly paired with jeans or cozy trousers.</p><ul><li>Fabric: 100% Pure Organic Cotton Knit</li><li>Style: Heavy Gauge Textured Crewneck</li><li>Features: Soft brushed inner texture & stretchy ribbed trims</li><li>Care: Machine Wash Gentle</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Chocolate Brown, Wave Rib, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-CHOCOLATE--0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_chocolate_wave_sweater.jpg,1,Chocolate Wave Textured Knitted Sweater,FALSE,Chocolate Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Chocolate Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHOCOLATE--0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_chocolate_wave_sweater.jpg,g,,720,,,active
chocolate-wave-textured-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-CHOCOLATE--6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Chocolate Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Chocolate Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHOCOLATE--6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
chocolate-wave-textured-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-CHOCOLATE--1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Chocolate Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Chocolate Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHOCOLATE--1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
chocolate-wave-textured-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-CHOCOLATE--2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Chocolate Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Chocolate Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHOCOLATE--2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
chocolate-wave-textured-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-CHOCOLATE--3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Chocolate Wave Textured Knitted Sweater – Meeeku Kids Fashion,"Shop Chocolate Wave Textured Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Boys,Kids,MKU-CHOCOLATE--3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
little-fox-milk-white-knitted-sweater,Little Fox Milk White Knitted Sweater,<p>Adorable woodland friends! Crafted in pure milk white cotton knit with minimalist black jacquard fox face portraits and wooden button shoulder fastening.</p><ul><li>Fabric: 100% Pure Hypoallergenic Combed Cotton</li><li>Style: Fox Jacquard Button-Shoulder Pullover</li><li>Features: Natural wood buttons & gentle non-constricting cuffs</li><li>Care: Machine Wash Cold</li></ul>,Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Milk White, Fox, Animal Art, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-LITTLE-FOX-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_little_fox_sweater.jpg,1,Little Fox Milk White Knitted Sweater,FALSE,Little Fox Milk White Knitted Sweater – Meeeku Kids Fashion,"Shop Little Fox Milk White Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-LITTLE-FOX-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_little_fox_sweater.jpg,g,,720,,,active
little-fox-milk-white-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-LITTLE-FOX-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Little Fox Milk White Knitted Sweater – Meeeku Kids Fashion,"Shop Little Fox Milk White Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-LITTLE-FOX-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
little-fox-milk-white-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-LITTLE-FOX-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Little Fox Milk White Knitted Sweater – Meeeku Kids Fashion,"Shop Little Fox Milk White Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-LITTLE-FOX-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
