Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Cost per item,Status
forest-vrindavan-green-lehenga,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-GRN-45,380,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_model.jpg,2,Forest Vrindavan Lehenga - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_model.jpg,g,1600.00,active
forest-vrindavan-green-lehenga,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-GRN-67,400,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_swirl.jpg,3,Forest Vrindavan Lehenga - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga_swirl.jpg,g,1600.00,active
gulmohar-splash-abstract-coord,Gulmohar Splash Co-ord,"<p>Bright, bold, and delightfully artistic. This vibrant abstract printed co-ord set brings festive joy with rich hues of magenta, marigold yellow, and ocean blue.</p><ul><li>Fabric: Premium Soft Cotton Rayon Blend</li><li>Set Includes: V-Neck Crop Top &amp; Flared Mid-Calf Skirt</li><li>Care: Machine Washable Gentle Cycle</li></ul>",Meeeku,,Festive Co-ords,"Co-ords, Abstract Print, Multicolor, Magenta, Yellow, Cotton Blend, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,MEEK-MULTI-23,350,shopify,25,deny,manual,2899.00,3599.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord.jpg,1,Gulmohar Splash Co-ord - Flatlay,FALSE,Gulmohar Splash Co-ord - Meeeku,Shop Gulmohar Splash Co-ord at Meeeku.,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord.jpg,g,1300.00,active
gulmohar-splash-abstract-coord,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-MULTI-45,380,shopify,25,deny,manual,2899.00,3599.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_model.jpg,2,Gulmohar Splash Co-ord - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_model.jpg,g,1300.00,active
gulmohar-splash-abstract-coord,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-MULTI-67,400,shopify,25,deny,manual,2899.00,3599.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_swirl.jpg,3,Gulmohar Splash Co-ord - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_multicolor_coord_swirl.jpg,g,1300.00,active
sage-mint-gota-lehenga,Sage Mint Gota Lehenga,"<p>Elegance meets playfulness in soft sage mint. Decorated with intricate red flower embroidery and silver zigzag gota patti detailing, lined with skin-safe cotton.</p><ul><li>Fabric: Textured Cotton Linen</li><li>Detailing: Silver Zigzag Gota Patti &amp; Red Floral Threadwork</li><li>Care: Dry Clean Only</li></ul>",Meeeku,,Indian Ethnic Lehengas,"Ethnic, Lehenga, Sage Mint, Gota Patti, Red Floral, Zari, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,MEEK-SAGE-23,350,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga.jpg,1,Sage Mint Gota Lehenga - Flatlay,FALSE,Sage Mint Gota Lehenga - Meeeku,Shop Sage Mint Gota Lehenga at Meeeku.,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga.jpg,g,1750.00,active
sage-mint-gota-lehenga,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-SAGE-45,380,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_model.jpg,2,Sage Mint Gota Lehenga - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_model.jpg,g,1750.00,active
sage-mint-gota-lehenga,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-SAGE-67,400,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_swirl.jpg,3,Sage Mint Gota Lehenga - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_sage_lehenga_swirl.jpg,g,1750.00,active
rani-pink-phulkari-lehenga,Rani Pink Phulkari Lehenga,"<p>Vibrant Rani magenta lehenga featuring multi-colored floral boti embroidery and a scalloped embroidered hem. Ideal for weddings, festive occasions, and family celebrations.</p><ul><li>Fabric: 100% Pure Premium Cotton</li><li>Work: Phulkari Multi-Color Embroidery</li><li>Care: Dry Clean Recommended</li></ul>",Meeeku,,Indian Ethnic Lehengas,"Ethnic, Lehenga, Rani Pink, Magenta, Phulkari, Threadwork, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,MEEK-RANI-23,350,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga.jpg,1,Rani Pink Phulkari Lehenga - Flatlay,FALSE,Rani Pink Phulkari Lehenga - Meeeku,Shop Rani Pink Phulkari Lehenga at Meeeku.,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga.jpg,g,1800.00,active
rani-pink-phulkari-lehenga,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-RANI-45,380,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_model.jpg,2,Rani Pink Phulkari Lehenga - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_model.jpg,g,1800.00,active
rani-pink-phulkari-lehenga,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-RANI-67,400,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_swirl.jpg,3,Rani Pink Phulkari Lehenga - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_magenta_lehenga_swirl.jpg,g,1800.00,active
midnight-blossom-halter-lehenga,Midnight Blossom Halter Lehenga,<p>Striking midnight black paired with rich crimson floral motifs. High-neck halter silhouette designed for modern little princesses who love to twirl.</p><ul><li>Fabric: 100% Breathable Printed Cotton</li><li>Top Silhouette: High-Neck Halter Top</li><li>Care: Gentle Wash / Dry Clean</li></ul>,Meeeku,,Indian Ethnic Lehengas,"Ethnic, Lehenga, Black, Crimson Red, Halter Neck, Floral Print, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,MEEK-BLK-23,350,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga.jpg,1,Midnight Blossom Halter Lehenga - Flatlay,FALSE,Midnight Blossom Halter Lehenga - Meeeku,Shop Midnight Blossom Halter Lehenga at Meeeku.,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga.jpg,g,1700.00,active
midnight-blossom-halter-lehenga,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-BLK-45,380,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_model.jpg,2,Midnight Blossom Halter Lehenga - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_model.jpg,g,1700.00,active
midnight-blossom-halter-lehenga,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-BLK-67,400,shopify,25,deny,manual,2799.00,3499.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_swirl.jpg,3,Midnight Blossom Halter Lehenga - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_black_lehenga_swirl.jpg,g,1700.00,active
olive-silk-oneshoulder-lehenga,Olive Silk One-Shoulder Lehenga,"<p>Exquisite chartreuse olive green silk ensemble. Features an asymmetrical one-shoulder crop top with intricate silver zardozi embroidery vines and a shoulder fabric floral accent, paired with a rich flared satin silk skirt.</p><ul><li>Fabric: Pure Satin Silk & Zardozi Threadwork</li><li>Set Includes: One-Shoulder Crop Top &amp; Flared Ankle-Length Skirt</li><li>Care: Dry Clean Only</li></ul>",Meeeku,,Indian Ethnic Lehengas,"Ethnic, Lehenga, Olive Green, Chartreuse, Zardozi Silk, One Shoulder, coords, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,MEEK-OLV-23,350,shopify,25,deny,manual,3299.00,3999.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga.jpg,1,Olive Silk One-Shoulder Lehenga - Flatlay,FALSE,Olive Silk One-Shoulder Lehenga - Meeeku,Shop Olive Silk One-Shoulder Lehenga for girls 2-7Y at Meeeku.,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga.jpg,g,1800.00,active
olive-silk-oneshoulder-lehenga,,,Meeeku,,,,TRUE,Size,4-5Y,,,,,MEEK-OLV-45,380,shopify,25,deny,manual,3299.00,3999.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_model.jpg,2,Olive Silk One-Shoulder Lehenga - Model View,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_model.jpg,g,1800.00,active
olive-silk-oneshoulder-lehenga,,,Meeeku,,,,TRUE,Size,6-7Y,,,,,MEEK-OLV-67,400,shopify,25,deny,manual,3299.00,3999.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_swirl.jpg,3,Olive Silk One-Shoulder Lehenga - Fabric Detail,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_olive_lehenga_swirl.jpg,g,1800.00,active
snuggle-bunny-blush-tee,Snuggle Bunny Blush Cotton Tee,"<p>An everyday wardrobe essential for your little one. Crafted from ultra-soft, 100% breathable combed cotton with an adorable sleepy bunny graphic, soft ribbed neckline, and zero-itch tagless collar. Gentle on sensitive baby skin for all-day comfort and play.</p><ul><li>Fabric: 100% Pure Combed Cotton</li><li>Fit: Relaxed & Breathable Everyday Fit</li><li>Features: Zero-Itch Neckband & Soft Stretch Hem</li><li>Care: Machine Wash Gentle Cycle</li></ul>",Meeeku,,Basic T-Shirts,"Basic Tee, Everyday Cotton, Blush Pink, Bunny, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Size,0-6M,,,,,MEEK-TEE-BUN-0-6M,120,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,1,Snuggle Bunny Blush Cotton Tee - Flatlay,FALSE,Snuggle Bunny Blush Cotton Tee - Meeeku,"Shop Snuggle Bunny Blush Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,g,220.00,active
snuggle-bunny-blush-tee,,,Meeeku,,,,TRUE,Size,6-12M,,,,,MEEK-TEE-BUN-6-12M,130,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,1,Snuggle Bunny Blush Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,g,220.00,active
snuggle-bunny-blush-tee,,,Meeeku,,,,TRUE,Size,12-18M,,,,,MEEK-TEE-BUN-12-18M,140,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,1,Snuggle Bunny Blush Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,g,220.00,active
snuggle-bunny-blush-tee,,,Meeeku,,,,TRUE,Size,18-24M,,,,,MEEK-TEE-BUN-18-24M,150,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,1,Snuggle Bunny Blush Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,g,220.00,active
snuggle-bunny-blush-tee,,,Meeeku,,,,TRUE,Size,2-3Y,,,,,MEEK-TEE-BUN-2-3Y,160,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,1,Snuggle Bunny Blush Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_bunny_tee.jpg,g,220.00,active
little-leopard-safari-tee,Little Leopard Safari Cotton Tee,<p>Sweet safari adventures start here! Designed in a warm ivory cream base with playful yellow leopard prints and soft pink neckline detailing. Made from 100% hypoallergenic cotton that stays breezy and cozy through naptime and playtime.</p><ul><li>Fabric: 100% Hypoallergenic Soft Cotton</li><li>Neckline: Contrast Ribbed Crew Neck</li><li>Features: Non-toxic baby-safe inks & tagless back</li><li>Care: Machine Wash Gentle Cycle</li></ul>,Meeeku,,Basic T-Shirts,"Basic Tee, Everyday Cotton, Cream, Leopard, Safari, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Size,0-6M,,,,,MEEK-TEE-LEO-0-6M,120,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,FALSE,Little Leopard Safari Cotton Tee - Meeeku,"Shop Little Leopard Safari Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,g,220.00,active
little-leopard-safari-tee,,,Meeeku,,,,TRUE,Size,6-12M,,,,,MEEK-TEE-LEO-6-12M,130,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,g,220.00,active
little-leopard-safari-tee,,,Meeeku,,,,TRUE,Size,12-18M,,,,,MEEK-TEE-LEO-12-18M,140,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,g,220.00,active
little-leopard-safari-tee,,,Meeeku,,,,TRUE,Size,18-24M,,,,,MEEK-TEE-LEO-18-24M,150,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,g,220.00,active
little-leopard-safari-tee,,,Meeeku,,,,TRUE,Size,2-3Y,,,,,MEEK-TEE-LEO-2-3Y,160,shopify,50,deny,manual,599.00,899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,g,220.00,active
